Age,L,M,S,P01,P1,P3,P5,P10,P15,P25,P50,P75,P85,P90,P95,P97,P99,P999
142,-0.0309,14.8801,0.12309,10.194,11.188,11.815,12.161,12.714,13.102,13.695,14.881,16.171,16.909,17.43,18.23,18.772,19.839,21.817
143,-0.0321,14.9134,0.12305,10.221,11.215,11.843,12.189,12.743,13.131,13.728,14.914,16.206,16.947,17.467,18.272,18.812,19.883,21.863
144,-0.0333,14.9462,0.12301,10.245,11.241,11.87,12.216,12.771,13.162,13.757,14.947,16.241,16.982,17.505,18.312,18.854,19.925,21.912
145,-0.0345,14.9791,0.12298,10.269,11.268,11.896,12.244,12.8,13.19,13.788,14.978,16.277,17.02,17.544,18.351,18.896,19.969,21.96
146,-0.0357,15.0115,0.12294,10.293,11.294,11.925,12.273,12.829,13.219,13.819,15.011,16.312,17.057,17.582,18.389,18.936,20.011,22.007
147,-0.0369,15.0439,0.12291,10.318,11.321,11.951,12.3,12.857,13.248,13.849,15.044,16.347,17.092,17.619,18.428,18.975,20.053,22.053
148,-0.0381,15.0761,0.12287,10.342,11.345,11.978,12.326,12.886,13.278,13.878,15.075,16.38,17.13,17.655,18.468,19.015,20.095,22.099
149,-0.0393,15.1081,0.12284,10.364,11.371,12.004,12.355,12.915,13.307,13.909,15.108,16.416,17.165,17.692,18.506,19.055,20.137,22.148
150,-0.0404,15.1398,0.12281,10.388,11.396,12.031,12.381,12.941,13.336,13.938,15.139,16.449,17.2,17.73,18.545,19.094,20.179,22.194
151,-0.0416,15.1713,0.12277,10.412,11.422,12.057,12.408,12.97,13.362,13.968,15.172,16.484,17.236,17.765,18.583,19.134,20.221,22.238
152,-0.0428,15.2029,0.12274,10.437,11.446,12.084,12.434,12.996,13.391,13.997,15.203,16.517,17.271,17.802,18.62,19.174,20.263,22.284
153,-0.0439,15.2339,0.12271,10.459,11.471,12.108,12.461,13.025,13.42,14.026,15.234,16.55,17.306,17.838,18.658,19.211,20.305,22.331
154,-0.045,15.265,0.12268,10.483,11.495,12.134,12.487,13.051,13.448,14.054,15.265,16.585,17.342,17.873,18.695,19.251,20.344,22.375
155,-0.0462,15.2959,0.12265,10.505,11.521,12.161,12.513,13.078,13.475,14.083,15.296,16.618,17.377,17.91,18.733,19.288,20.386,22.421
156,-0.0473,15.3265,0.12262,10.527,11.546,12.185,12.54,13.106,13.503,14.112,15.327,16.652,17.41,17.946,18.77,19.326,20.426,22.465
157,-0.0484,15.3572,0.12259,10.551,11.57,12.211,12.564,13.133,13.53,14.14,15.357,16.685,17.445,17.981,18.808,19.365,20.466,22.509
158,-0.0496,15.3876,0.12256,10.573,11.594,12.236,12.591,13.159,13.558,14.169,15.388,16.715,17.478,18.016,18.843,19.403,20.505,22.553
159,-0.0507,15.4178,0.12254,10.595,11.618,12.26,12.617,13.186,13.585,14.198,15.417,16.749,17.514,18.051,18.88,19.44,20.547,22.597
160,-0.0518,15.4478,0.12251,10.617,11.64,12.286,12.641,13.212,13.611,14.224,15.448,16.782,17.547,18.085,18.916,19.478,20.585,22.641
161,-0.0529,15.4776,0.12248,10.64,11.665,12.311,12.668,13.239,13.638,14.253,15.479,16.812,17.58,18.12,18.953,19.515,20.624,22.686
162,-0.054,15.5073,0.12246,10.662,11.689,12.335,12.692,13.263,13.664,14.282,15.507,16.846,17.613,18.155,18.988,19.553,20.664,22.73
163,-0.0551,15.5369,0.12243,10.684,11.711,12.359,12.716,13.289,13.691,14.308,15.536,16.879,17.646,18.188,19.024,19.588,20.704,22.772
164,-0.0562,15.5662,0.12241,10.706,11.735,12.383,12.743,13.316,13.717,14.334,15.567,16.909,17.679,18.223,19.059,19.626,20.743,22.816
165,-0.0573,15.5955,0.12238,10.728,11.759,12.408,12.767,13.34,13.744,14.363,15.596,16.94,17.712,18.256,19.096,19.663,20.781,22.858
166,-0.0583,15.6246,0.12236,10.75,11.782,12.432,12.791,13.367,13.77,14.39,15.624,16.971,17.745,18.29,19.132,19.698,20.82,22.902
167,-0.0594,15.6535,0.12234,10.77,11.804,12.456,12.815,13.391,13.797,14.416,15.653,17.004,17.778,18.325,19.167,19.734,20.858,22.944
168,-0.0605,15.6821,0.12231,10.792,11.828,12.48,12.84,13.417,13.821,14.442,15.681,17.035,17.811,18.358,19.2,19.771,20.895,22.985
169,-0.0615,15.7108,0.12229,10.814,11.85,12.502,12.864,13.442,13.847,14.469,15.71,17.066,17.842,18.391,19.235,19.806,20.933,23.027
170,-0.0626,15.7395,0.12227,10.834,11.872,12.527,12.888,13.468,13.874,14.498,15.739,17.097,17.875,18.424,19.271,19.842,20.973,23.071
171,-0.0637,15.7677,0.12225,10.856,11.894,12.549,12.912,13.492,13.898,14.522,15.767,17.128,17.906,18.457,19.304,19.877,21.01,23.113
172,-0.0647,15.7959,0.12223,10.875,11.918,12.573,12.937,13.517,13.924,14.548,15.796,17.156,17.939,18.49,19.339,19.912,21.048,23.153
